source,md5,title,author,year,extension,filesize,download_url,additional_info
LibGen Fiction,A314160B78D6E47BDB6660FBC0F34C90,17,"ï»¿McCauley, Paul J",0,pdf,67914,https://libgen.li/ads.php?md5=A314160B78D6E47BDB6660FBC0F34C90,"{""libgen_id"": ""1""}"
LibGen Fiction,AA81F6EFA07618A1B7E7DC8660A858BA,17,"Mcauley, Paul J",0,txt,34681,https://libgen.li/ads.php?md5=AA81F6EFA07618A1B7E7DC8660A858BA,"{""libgen_id"": ""2""}"
LibGen Fiction,A5208619FC03BF781B49D1EC2DDB0D2C,33,"Moore, G E",0,pdf,354899,https://libgen.li/ads.php?md5=A5208619FC03BF781B49D1EC2DDB0D2C,"{""libgen_id"": ""3""}"
LibGen Fiction,27180D578C212541D67787EE945A1EF8,33,"Moore, G E",0,pdf,679053,https://libgen.li/ads.php?md5=27180D578C212541D67787EE945A1EF8,"{""libgen_id"": ""4""}"
LibGen Fiction,3A0BF02EB590CD1C4D847E41AE4EC8B9,47,"Mosley, Walter",0,lrf,146696,https://libgen.li/ads.php?md5=3A0BF02EB590CD1C4D847E41AE4EC8B9,"{""libgen_id"": ""5""}"
LibGen Fiction,91F4AD5CEC537EBAEFF114236BE0A849,47,"Mosley, Walter",0,pdf,279713,https://libgen.li/ads.php?md5=91F4AD5CEC537EBAEFF114236BE0A849,"{""libgen_id"": ""6""}"
LibGen Fiction,5A96A547F83665E8D35B11B45CAEC243,48,"Herbert, James",0,lit,419096,https://libgen.li/ads.php?md5=5A96A547F83665E8D35B11B45CAEC243,"{""libgen_id"": ""7""}"
LibGen Fiction,BD572327CFFB85A7A844159861ABF730,334,"Disch, Thomas M",0,txt,519783,https://libgen.li/ads.php?md5=BD572327CFFB85A7A844159861ABF730,"{""libgen_id"": ""8""}"
LibGen Fiction,4F224F2CD897A272933B21A391F0C0E1,334,"Disch, Thomas M",0,pdf,389881,https://libgen.li/ads.php?md5=4F224F2CD897A272933B21A391F0C0E1,"{""libgen_id"": ""9""}"
LibGen Fiction,4C54C96BC71DB0A962B2090AFD595842,361,"Westlake, Donald E",0,lrf,320449,https://libgen.li/ads.php?md5=4C54C96BC71DB0A962B2090AFD595842,"{""libgen_id"": ""10""}"
LibGen Fiction,016F7745984CCF1146EA122ECBE81FB3,1492,"Johnston, Mary",0,lit,296034,https://libgen.li/ads.php?md5=016F7745984CCF1146EA122ECBE81FB3,"{""libgen_id"": ""11""}"
LibGen Fiction,C2761160058DC51EE06AFEF40F5BFBBE,1601,"Twain, Mark",0,lit,102824,https://libgen.li/ads.php?md5=C2761160058DC51EE06AFEF40F5BFBBE,"{""libgen_id"": ""12""}"
LibGen Fiction,F5F7B4026D768D4026D0B3DAA6606710,1601,"Twain, Mark",0,txt,70835,https://libgen.li/ads.php?md5=F5F7B4026D768D4026D0B3DAA6606710,"{""libgen_id"": ""13""}"
